trial_indices,leftP,rightP,choices,rewarded
0,0.9,0.2,0,1
1,0.9,0.2,1,0
2,0.9,0.2,-1,-1
3,0.9,0.2,0,1
4,0.9,0.2,0,1
5,0.9,0.2,1,0
6,0.9,0.2,1,0
7,0.9,0.2,0,1
8,0.9,0.2,0,1
9,0.9,0.2,0,1
10,0.9,0.2,0,1
11,0.9,0.2,0,1
12,0.9,0.2,0,1
13,0.9,0.2,0,1
14,0.9,0.2,0,1
15,0.9,0.2,0,1
16,0.9,0.2,0,1
17,0.9,0.2,0,0
18,0.9,0.2,0,1
19,0.9,0.2,0,0
20,0.9,0.2,0,1
21,0.9,0.2,0,1
22,0.9,0.2,0,1
23,0.9,0.2,0,1
24,0.9,0.2,0,1
25,0.9,0.2,0,1
26,0.9,0.2,0,1
27,0.9,0.2,0,1
28,0.9,0.2,0,1
29,0.9,0.2,0,1
30,0.9,0.2,0,1
31,0.9,0.2,0,1
32,0.9,0.2,0,1
33,0.9,0.2,0,1
34,0.9,0.2,0,1
35,0.9,0.2,0,1
36,0.9,0.2,0,1
37,0.9,0.2,0,0
38,0.9,0.2,0,0
39,0.9,0.2,0,1
40,0.9,0.2,0,1
41,0.9,0.2,0,1
42,0.9,0.2,0,1
43,0.9,0.2,0,1
44,0.9,0.2,0,1
45,0.9,0.2,0,1
46,0.9,0.2,0,1
47,0.9,0.2,0,0
48,0.9,0.2,0,1
49,0.9,0.2,0,1
50,0.9,0.2,0,1
51,0.9,0.2,0,1
52,0.9,0.2,0,0
53,0.9,0.2,0,1
54,0.9,0.2,0,1
55,0.9,0.2,0,1
56,0.9,0.2,0,1
57,0.9,0.2,0,1
58,0.9,0.2,0,1
59,0.9,0.2,0,1
60,0.9,0.2,0,1
61,0.9,0.2,0,1
62,0.9,0.2,0,1
63,0.9,0.2,0,1
64,0.9,0.2,0,0
65,0.9,0.2,0,1
66,0.9,0.2,0,1
67,0.9,0.2,0,1
68,0.9,0.2,0,1
69,0.9,0.2,0,1
70,0.9,0.2,0,1
71,0.9,0.2,0,1
72,0.9,0.2,0,1
73,0.9,0.2,0,1
74,0.9,0.2,0,1
75,0.9,0.2,0,1
76,0.2,0.8,0,0
77,0.2,0.8,0,0
78,0.2,0.8,0,0
79,0.2,0.8,0,0
80,0.2,0.8,0,0
