trial_indices,leftP,rightP,choices,rewarded
0,0.15,0.85,1,1
1,0.15,0.85,0,0
2,0.15,0.85,0,0
3,0.15,0.85,0,0
4,0.15,0.85,0,0
5,0.15,0.85,1,1
6,0.15,0.85,0,1
7,0.15,0.85,0,0
8,0.15,0.85,0,1
9,0.15,0.85,0,0
10,0.15,0.85,-1,-1
11,0.15,0.85,1,0
12,0.15,0.85,1,0
13,0.15,0.85,1,1
14,0.15,0.85,0,0
15,0.15,0.85,0,0
16,0.15,0.85,1,1
17,0.15,0.85,0,0
18,0.15,0.85,1,1
19,0.15,0.85,0,0
20,0.15,0.85,0,0
21,0.15,0.85,0,0
22,0.15,0.85,0,1
23,0.15,0.85,0,0
24,0.15,0.85,0,0
25,0.15,0.85,0,0
26,0.15,0.85,1,1
27,0.15,0.85,-1,-1
28,0.15,0.85,0,0
29,0.15,0.85,0,0
30,0.15,0.85,0,1
31,0.15,0.85,0,0
32,0.15,0.85,0,0
33,0.15,0.85,0,1
34,0.15,0.85,0,0
35,0.15,0.85,1,1
36,0.15,0.85,0,0
37,0.15,0.85,0,0
38,0.15,0.85,0,1
39,0.15,0.85,0,0
40,0.15,0.85,1,1
41,0.15,0.85,0,0
42,0.15,0.85,0,0
43,0.15,0.85,1,1
44,0.15,0.85,0,0
45,0.15,0.85,1,1
46,0.15,0.85,0,0
47,0.15,0.85,0,0
48,0.15,0.85,0,0
49,0.15,0.85,0,0
50,0.15,0.85,1,1
51,0.15,0.85,1,1
52,0.15,0.85,1,1
53,0.15,0.85,1,1
54,0.15,0.85,0,0
55,0.15,0.85,1,1
56,0.15,0.85,1,1
57,0.15,0.85,0,0
58,0.15,0.85,1,0
59,0.15,0.85,0,0
60,0.15,0.85,0,0
61,0.15,0.85,0,0
62,0.15,0.85,0,0
63,0.15,0.85,-1,-1
64,0.15,0.85,0,0
65,0.15,0.85,-1,-1
66,0.15,0.85,1,1
67,0.15,0.85,0,0
68,0.15,0.85,0,0
69,0.15,0.85,0,1
70,0.15,0.85,0,0
71,0.15,0.85,1,1
72,0.15,0.85,0,0
73,0.15,0.85,1,1
74,0.15,0.85,0,0
75,0.15,0.85,0,0
76,0.15,0.85,0,0
77,0.15,0.85,0,0
78,0.15,0.85,1,0
79,0.15,0.85,0,0
80,0.15,0.85,-1,-1
81,0.15,0.85,0,0
82,0.15,0.85,-1,-1
83,0.15,0.85,0,0
84,0.15,0.85,0,0
85,0.15,0.85,-1,-1
86,0.15,0.85,0,0
87,0.15,0.85,-1,-1
88,0.15,0.85,-1,-1
89,0.15,0.85,0,0
90,0.15,0.85,-1,-1
91,0.15,0.85,-1,-1
92,0.15,0.85,1,0
93,0.15,0.85,-1,-1
94,0.15,0.85,-1,-1
95,0.15,0.85,1,1
96,0.15,0.85,0,1
97,0.15,0.85,0,1
98,0.15,0.85,1,1
99,0.15,0.85,0,0
100,0.15,0.85,0,0
101,0.15,0.85,1,1
102,0.15,0.85,0,0
103,0.15,0.85,1,1
104,0.15,0.85,0,0
105,0.15,0.85,0,0
106,0.15,0.85,0,0
107,0.15,0.85,0,0
108,0.15,0.85,0,0
109,0.15,0.85,0,0
110,0.15,0.85,0,0
111,0.15,0.85,0,0
112,0.15,0.85,-1,-1
113,0.15,0.85,0,0
114,0.15,0.85,1,1
115,0.15,0.85,0,1
116,0.15,0.85,1,1
117,0.15,0.85,0,1
118,0.15,0.85,0,0
119,0.15,0.85,1,0
120,0.15,0.85,1,1
121,0.15,0.85,0,0
122,0.15,0.85,0,0
123,0.15,0.85,0,0
124,0.15,0.85,1,1
125,0.15,0.85,0,1
126,0.15,0.85,0,0
127,0.15,0.85,0,0
128,0.15,0.85,0,0
129,0.15,0.85,1,1
130,0.15,0.85,0,1
131,0.15,0.85,0,0
132,0.15,0.85,0,0
133,0.15,0.85,0,0
134,0.15,0.85,0,0
135,0.15,0.85,0,0
136,0.15,0.85,0,0
137,0.15,0.85,0,1
138,0.15,0.85,0,1
139,0.15,0.85,0,0
140,0.15,0.85,0,0
141,0.15,0.85,0,0
142,0.15,0.85,0,0
143,0.15,0.85,1,1
144,0.15,0.85,0,0
145,0.15,0.85,1,1
146,0.15,0.85,0,0
147,0.15,0.85,1,1
148,0.15,0.85,0,0
149,0.15,0.85,1,1
150,0.15,0.85,0,0
151,0.15,0.85,0,0
152,0.15,0.85,0,0
153,0.15,0.85,0,0
154,0.15,0.85,-1,-1
155,0.15,0.85,0,0
156,0.15,0.85,1,1
157,0.15,0.85,1,1
158,0.15,0.85,1,1
159,0.15,0.85,0,0
160,0.15,0.85,0,1
161,0.15,0.85,0,1
162,0.15,0.85,0,0
163,0.15,0.85,0,1
164,0.15,0.85,0,0
165,0.15,0.85,0,0
166,0.15,0.85,0,0
167,0.15,0.85,0,0
168,0.15,0.85,0,0
169,0.15,0.85,1,1
170,0.15,0.85,0,0
171,0.15,0.85,1,0
172,0.15,0.85,0,0
173,0.15,0.85,1,1
174,0.15,0.85,0,0
175,0.15,0.85,1,1
176,0.15,0.85,-1,-1
177,0.15,0.85,-1,-1
178,0.15,0.85,0,0
179,0.15,0.85,-1,-1
180,0.15,0.85,0,0
181,0.15,0.85,1,0
182,0.15,0.85,1,1
183,0.15,0.85,0,0
184,0.15,0.85,-1,-1
185,0.15,0.85,-1,-1
186,0.15,0.85,1,1
187,0.15,0.85,0,0
188,0.15,0.85,0,0
189,0.15,0.85,0,0
190,0.15,0.85,0,0
191,0.15,0.85,1,1
192,0.15,0.85,0,1
193,0.15,0.85,0,0
194,0.15,0.85,0,0
195,0.15,0.85,1,1
196,0.15,0.85,-1,-1
197,0.15,0.85,0,0
198,0.15,0.85,0,1
199,0.15,0.85,0,1
200,0.15,0.85,0,0
201,0.15,0.85,0,0
202,0.15,0.85,1,1
203,0.15,0.85,0,0
204,0.15,0.85,0,0
205,0.15,0.85,0,0
206,0.15,0.85,0,0
207,0.15,0.85,0,0
208,0.15,0.85,0,0
209,0.15,0.85,0,0
210,0.15,0.85,-1,-1
211,0.15,0.85,0,0
