trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.2,1,0
1,0.85,0.2,1,0
2,0.85,0.2,1,1
3,0.85,0.2,1,1
4,0.85,0.2,1,0
5,0.85,0.2,1,0
6,0.85,0.2,1,0
7,0.85,0.2,1,0
8,0.85,0.2,1,0
9,0.85,0.2,1,0
10,0.85,0.2,-1,-1
11,0.85,0.2,1,0
12,0.85,0.2,1,0
13,0.85,0.2,1,0
14,0.85,0.2,1,1
15,0.85,0.2,1,0
16,0.85,0.2,1,0
17,0.85,0.2,1,0
18,0.85,0.2,1,0
19,0.85,0.2,1,0
20,0.85,0.2,1,1
21,0.85,0.2,1,1
22,0.85,0.2,1,0
23,0.85,0.2,1,1
24,0.85,0.2,1,0
25,0.85,0.2,1,0
26,0.85,0.2,-1,-1
27,0.85,0.2,0,1
28,0.85,0.2,1,0
29,0.85,0.2,1,0
30,0.85,0.2,1,0
31,0.85,0.2,-1,-1
32,0.85,0.2,1,0
33,0.85,0.2,1,0
34,0.85,0.2,1,0
35,0.85,0.2,1,1
36,0.85,0.2,1,0
37,0.85,0.2,1,0
38,0.85,0.2,1,0
39,0.85,0.2,1,0
40,0.85,0.2,1,0
41,0.85,0.2,1,1
42,0.85,0.2,1,0
43,0.85,0.2,1,0
44,0.85,0.2,1,0
45,0.85,0.2,1,0
46,0.85,0.2,1,0
47,0.85,0.2,1,0
48,0.85,0.2,1,0
49,0.85,0.2,1,1
50,0.85,0.2,1,0
51,0.85,0.2,1,0
52,0.85,0.2,1,0
53,0.85,0.2,1,0
54,0.85,0.2,1,1
55,0.85,0.2,1,0
56,0.85,0.2,1,0
57,0.85,0.2,1,0
58,0.85,0.2,1,1
59,0.85,0.2,1,1
60,0.85,0.2,1,0
61,0.85,0.2,1,0
62,0.85,0.2,1,0
63,0.85,0.2,1,0
64,0.85,0.2,1,0
65,0.85,0.2,1,1
66,0.85,0.2,1,0
67,0.85,0.2,1,0
68,0.85,0.2,1,0
69,0.85,0.2,1,0
70,0.85,0.2,1,0
71,0.85,0.2,1,0
72,0.85,0.2,1,0
73,0.85,0.2,1,0
74,0.85,0.2,1,0
75,0.85,0.2,1,1
76,0.85,0.2,1,0
77,0.85,0.2,1,1
78,0.85,0.2,1,0
79,0.85,0.2,1,0
80,0.85,0.2,1,1
81,0.85,0.2,1,0
82,0.85,0.2,1,0
83,0.85,0.2,1,0
84,0.85,0.2,1,0
85,0.85,0.2,1,1
86,0.85,0.2,1,0
87,0.85,0.2,1,0
88,0.85,0.2,1,0
89,0.85,0.2,1,0
90,0.85,0.2,0,1
91,0.85,0.2,1,0
92,0.85,0.2,1,0
93,0.85,0.2,0,1
94,0.85,0.2,1,0
95,0.85,0.2,0,1
96,0.85,0.2,1,0
97,0.85,0.2,0,1
98,0.85,0.2,0,1
99,0.85,0.2,0,1
100,0.85,0.2,0,1
101,0.85,0.2,1,0
102,0.85,0.2,1,0
103,0.85,0.2,1,0
